Handler_Key,Handler,Team,Experience_Band,Monthly_Capacity
1,Handler 01,Claims Team A,Experienced,93
2,Handler 02,Claims Team B,Experienced,100
3,Handler 03,Claims Team C,Senior,107
4,Handler 04,Claims Team D,Experienced,114
5,Handler 05,Claims Team E,Developing,92
6,Handler 06,Claims Team A,Senior,99
7,Handler 07,Claims Team B,Experienced,106
8,Handler 08,Claims Team C,Experienced,113
9,Handler 09,Claims Team D,Senior,91
10,Handler 10,Claims Team E,Developing,98
11,Handler 11,Claims Team A,Experienced,105
12,Handler 12,Claims Team B,Senior,112
13,Handler 13,Claims Team C,Experienced,90
14,Handler 14,Claims Team D,Experienced,97
15,Handler 15,Claims Team E,Developing,104
16,Handler 16,Claims Team A,Experienced,111
17,Handler 17,Claims Team B,Experienced,89
18,Handler 18,Claims Team C,Senior,96
19,Handler 19,Claims Team D,Experienced,103
20,Handler 20,Claims Team E,Developing,110
21,Handler 21,Claims Team A,Senior,88
22,Handler 22,Claims Team B,Experienced,95
23,Handler 23,Claims Team C,Experienced,102
24,Handler 24,Claims Team D,Senior,109
25,Handler 25,Claims Team E,Developing,87
26,Handler 26,Claims Team A,Experienced,94
27,Handler 27,Claims Team B,Senior,101
28,Handler 28,Claims Team C,Experienced,108
29,Handler 29,Claims Team D,Experienced,86
30,Handler 30,Claims Team E,Developing,93
