Issue_ID,Claim_ID,Issue_Type,Severity,Original_Value,Corrected_Value,Resolution
DQ-00001,CLM026785,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
DQ-00002,CLM038457,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00003,CLM026013,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00004,CLM008590,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00005,CLM058048,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00006,CLM013537,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00007,CLM048031,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00008,CLM059861,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00009,CLM014253,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
DQ-00010,CLM072075,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
DQ-00011,CLM070460,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
DQ-00012,CLM017101,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00013,CLM036152,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00014,CLM006486,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
DQ-00015,CLM049275,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00016,CLM071844,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00017,CLM017455,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
DQ-00018,CLM041632,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00019,CLM021660,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00020,CLM044897,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00021,CLM027712,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00022,CLM032935,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00023,CLM030122,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00024,CLM037904,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00025,CLM072328,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00026,CLM024790,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00027,CLM058077,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
