Seed_ID,Raw_Row_ID,Claim_ID,Column_Name,Issue_Type,Severity,Original_Value,Corrected_Value,Resolution
SEED-00001,26785,CLM026785,Region,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
SEED-00002,38457,CLM038457,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00003,26013,CLM026013,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00004,8590,CLM008590,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00005,58048,CLM058048,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00006,13537,CLM013537,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00007,48031,CLM048031,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00008,59861,CLM059861,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00009,14253,CLM014253,Region,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
SEED-00010,72075,CLM072075,Region,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
SEED-00011,70460,CLM070460,Region,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
SEED-00012,17101,CLM017101,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00013,36152,CLM036152,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00014,6486,CLM006486,Region,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
SEED-00015,49275,CLM049275,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00016,71844,CLM071844,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00017,17455,CLM017455,Region,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
SEED-00018,41632,CLM041632,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00019,21660,CLM021660,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00020,44897,CLM044897,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00021,27712,CLM027712,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00022,32935,CLM032935,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00023,30122,CLM030122,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
